,Year,Month,Day,Pressure (hPa),Temperature (oC),Dew Point Temp (oC),Relative Humidity (%),Wind Speed(m/s),wind direction(deg),Soil Moisture (kg m-2) at 10 cm depth,Rainfall (mm),PETo,AETo
30,2019,1,31,1013.4,23.52432432,15.85135135,64.27829785,2.133333333,132.6923077,17.80438318,0.0,1.5374565302750942,0.0
31,2019,2,1,1012.4,24.64117647,16.20294118,62.06871891,1.753125,124.375,17.41020545,0.0,1.4129837591976369,0.0
32,2019,2,2,1011.75,24.45714286,16.21142857,62.48051109,1.962068966,123.6842105,17.00579432,0.0,1.533882589916285,0.0
33,2019,2,3,1013.766667,25.0,16.37714286,60.63084539,2.66,119.6296296,16.62789985,0.0,2.099578506148345,0.0
34,2019,2,4,1007.7873283070422,25.06842105,17.33684211,64.39997563,2.115625,122.5925926,16.279460999999998,0.0,1.5768352278940785,0.0
35,2019,2,5,1013.5,25.75,16.11428571,58.26105805,1.704347826,130.0,15.94758046,0.0,1.5419355895694218,0.0
36,2019,2,6,1011.85,26.88205128,17.33589744,58.45083161,2.023529412,133.0,15.63956098,0.0,1.82924105390018,0.0
37,2019,2,7,1011.585714,28.67027027,16.51081081,49.87472504,2.221875,166.81818180000005,15.33628046,0.0,2.4756741478373154,0.0
38,2019,2,8,1012.64,25.66315789,14.26842105,51.09475435,1.883870968,297.7777778,15.08467485,0.0,1.98469828992562,0.0
39,2019,2,9,1012.35,24.24,9.122857143,38.88639593,2.11875,118.4615385,14.85476656,63.4,2.6739940140044767,2.646045228574784
40,2019,2,10,1012.55,25.65116279,12.65813953,45.30043142,1.939473684,110.8,14.61036935,0.1,2.3037509174711563,0.09996861524536092
41,2019,2,11,1013.65,26.69444444,19.93333333,67.43345747,2.588571429,128.8235294,14.44131376,0.0,1.810367984732045,0.0
42,2019,2,12,1007.7873283070422,25.82,18.61,66.56698199,2.394444444,112.2580645,14.3310943,0.0,1.6733772263372602,0.0
43,2019,2,13,1013.8,26.6974359,14.81538462,52.43300968,2.428947368,123.8888889,14.17830821,0.0,2.3214060565811505,0.0
44,2019,2,14,1011.65,27.39047619,17.44761905,56.97038299,1.713157895,152.3076923,14.01160264,0.0,1.6690935262768165,0.0
45,2019,2,15,1011.771429,30.08571429,17.28857143,48.52178056,2.503125,181.03448280000003,13.87823045,0.0,2.8799495420131103,0.0
46,2019,2,16,1011.985714,27.565,17.31,56.75954796,1.7,192.0,13.73884984,0.0,1.6482873971410212,0.0
47,2019,2,17,1010.542857,29.05945946,17.03783784,52.24187803,1.990909091,200.3448276,13.62046102,0.0,2.096566996042934,0.0
48,2019,2,18,1010.15,27.91794872,19.16153846,60.43680431,1.966666667,130.7142857,13.50086378,0.0,1.7763627923180023,0.0
49,2019,2,19,1011.057143,29.77297297,21.35675676,62.66145289,2.802857143,138.23529409999998,13.39894432,0.0,2.323685034633092,0.0
50,2019,2,20,1012.8,28.60625,20.509375,63.59740621,3.19,141.33333330000005,13.29429153,0.0,2.4488127435693627,0.0
51,2019,2,21,1013.2,29.85945946,16.22432432,46.56810015,2.363888889,141.9354839,13.1956582,0.0,2.8000741463177627,0.0
52,2019,2,22,1011.78,31.31351351,15.24594595,40.04768074,2.114285714,130.0,13.07874987,0.0,2.952895221305986,0.0
53,2019,2,23,1010.575,31.62105263,15.73157895,40.4383179,1.690322581,186.0,12.96724709,0.0,2.4404529197145806,0.0
54,2019,2,24,1008.6625,32.35135135,13.84594595,35.00692561,2.3428571430000003,203.4782609,12.86016655,0.0,3.5029565834890124,0.0
55,2019,2,25,1007.9,32.51052632,12.41315789,31.05509584,2.562857143,211.2121212,12.75860539,0.0,4.084744187734031,0.0
56,2019,2,26,1007.6125,30.3125,13.796875,41.41716568,1.940740741,213.8095238,12.67633041,0.0,2.4482096426820816,0.0
57,2019,2,27,1007.725,27.41914894,20.93617021,69.6086517,2.021428571,121.70731709999998,12.66821099,0.0,1.3874133087163179,0.0
58,2019,2,28,1009.125,28.92972973,13.70540541,41.89627509,1.830555556,110.0,12.70168322,0.0,2.388671895156677,0.0
59,2019,3,1,1009.725,28.08387097,21.01612903,67.51278209,2.580645161,133.7931034,12.67134987,0.0,1.8292110297162512,0.0
60,2019,3,2,1010.925,28.32432432,21.04864865,65.96065031,3.0,133.0,12.59979153,0.0,2.1959598119288657,0.0
61,2019,3,3,1008.825,30.67027027,20.28648649,55.80760976,2.242857143,159.0909091,12.52796652,15.2,2.318390776680829,2.2327286379368525
62,2019,3,4,1006.25,31.53333333,17.63571429,48.04096216,2.694594595,205.7142857,12.45247487,0.0,3.0198048867991947,0.0
63,2019,3,5,1007.175,30.50810811,15.22972973,41.35461731,2.457575758,265.0,12.38248601,0.0,3.25779824365151,0.0
64,2019,3,6,1008.3375,30.22777778,9.275,28.86749382,2.265625,274.1935484,12.31138877,0.0,3.602426886743628,0.0
65,2019,3,7,1008.425,29.58695652,11.14130435,34.27003973,1.725714286,150.76923080000003,12.29742209,0.0,2.581351490271003,0.0
66,2019,3,8,1010.5,30.41621622,18.77837838,52.44435421,1.971875,99.28571429,12.480236,0.0,2.1879591573608272,0.0
67,2019,3,9,1010.7125,31.01111111,20.57222222,55.29143444,2.5064516130000003,125.483871,12.54265823,0.0,2.6132285250092244,0.0
68,2019,3,10,1010.7,32.25294118,20.25882353,51.69074921,2.122580645,138.8,12.470111,9.4,2.458504716469302,2.3050775957158973
69,2019,3,11,1010.714286,32.52972973,19.67027027,50.02183983,2.723529412,158.125,12.39294156,1.2,3.0935572764086077,1.1259255885370232
70,2019,3,12,1010.714286,32.64242424,17.16969697,42.42097497,2.568965517,160.8,12.32054431,0.0,3.4002413323486578,0.0
71,2019,3,13,1011.714286,33.408,14.364,34.17028261,3.01,183.5,12.248772099999998,0.0,4.471852621362199,0.0
72,2019,3,14,1010.842857,33.22051282,12.85641026,30.55515171,2.544444444,193.3333333,12.17811099,0.0,4.177535270991369,0.0
73,2019,3,15,1011.085714,32.95428571,12.34857143,30.68117213,2.7625,162.66666669999995,12.11170819,0.0,4.347665365096605,0.0
74,2019,3,16,1011.5625,32.54074074,12.87407407,31.96488389,3.429166667,140.0,12.05051934,0.0,5.137718302779978,0.0
75,2019,3,17,1010.885714,31.30526316,16.37105263,43.61225369,3.097222222,144.5714286,11.99634154,0.0,3.7688876349014815,0.0
76,2019,3,18,1010.314286,29.77837838,16.10540541,45.7138652,2.8742857139999995,151.0,11.945322099999998,0.0,3.379067347110564,0.0
77,2019,3,19,1008.2625,32.26486486,19.1972973,48.97134371,2.286486486,154.23076919999997,11.89831931,0.0,2.7258424237300263,0.0
78,2019,3,20,1008.2875,31.41176471,20.58529412,55.66936191,3.085294118,142.05882350000005,12.35478046,0.1,3.007321301232718,0.09998157798821056
79,2019,3,21,1009.7375,31.57297297,19.05405405,51.3848893,2.730555556,148.91666669999995,12.46318323,168.2,2.9239199461712184,2.9112587891879556
80,2019,3,22,1010.125,32.18421053,19.93684211,50.95665935,2.041666667,146.76470590000002,12.37928043,7.9,2.4053023449086846,2.230185531631356
81,2019,3,23,1009.4375,33.00540541,19.70810811,47.68046908,1.979411765,128.125,12.40166097,0.0,2.5478467541514926,0.0
82,2019,3,24,1008.8625,33.57894737,18.02105263,41.86316035,2.214705882,125.0,12.60767208,0.0,3.1218570776853953,0.0
83,2019,3,25,1009.3,32.66341463,18.14146341,44.04305355,2.347368421,121.7142857,12.77367208,0.0,3.1308344299978486,0.0
84,2019,3,26,1010.075,33.36470588,18.83529412,44.70546564,2.034375,147.2727273,12.66628043,0.0,2.7464835273276433,0.0
85,2019,3,27,1010.542857,34.0,17.4025641,39.99173589,1.859459459,181.6666667,12.57030823,0.0,2.746699710475914,0.0
86,2019,3,28,1009.6625,34.17368421,16.66315789,37.39687233,1.877142857,124.5,12.48358042,0.0,2.924138698235152,0.0
87,2019,3,29,1008.2625,33.33658537,17.10487805,40.42637441,2.162162162,117.9310345,12.40402489,0.0,3.0884284781873608,0.0
88,2019,3,30,1007.475,34.41666667,16.66944444,38.78765368,1.871428571,144.2105263,12.33424989,0.0,2.7249190629700326,0.0
89,2019,3,31,1007.1375,35.78378378,14.5,30.7808393,2.261764706,217.2222222,12.26846376,0.0,3.775372961641884,0.0
90,2019,4,1,1007.25,35.66315789,13.44736842,28.60175772,2.051515152,195.6521739,12.20452489,0.0,3.6090540332814243,0.0
91,2019,4,2,1007.1875,35.61666667,16.81388889,35.22598969,2.4,237.2413793,12.14377208,0.0,3.7948634432066704,0.0
92,2019,4,3,1008.35,32.24878049,21.4195122,55.10339176,2.326829268,135.2631579,12.35415821,0.0,2.4884842777124154,0.0
93,2019,4,4,1009.6125,32.22857143,20.84,52.94713458,2.030952381,161.8518519,12.78951654,0.0,2.3344390252469007,0.0
94,2019,4,5,1010.071429,32.04615385,16.83684211,43.78617844,1.870967742,205.0,12.69716378,0.0,2.4575052867640474,0.0
95,2019,4,6,1009.175,29.14883721,18.82325581,59.04731546,1.689189189,210.0,12.62316379,87.1,1.5493217473440204,1.5424574357323062
96,2019,4,7,1007.4375,32.79487179,18.75384615,46.62104056,2.080555556,179.6153846,12.59483598,120.5,2.6323412546994307,2.61803049085605
97,2019,4,8,1006.8625,31.95263158,18.06578947,44.70781679,2.5,189.6875,13.12747207,1.0,3.2770112002347505,0.9661587072079779
98,2019,4,9,1007.575,30.98947368,20.86578947,56.69226681,2.088571429,172.08333330000005,13.77496933,33.9,2.156385454691996,2.1225435684781306
99,2019,4,10,1008.4375,32.91794872,18.49230769,44.8279414,1.5423076919999998,169.23076919999997,13.98097488,0.0,2.1338749125157794,0.0
100,2019,4,11,1006.9875,34.9025641,17.32051282,39.89866168,1.621875,172.7272727,13.94295821,4.0,2.346374253009864,1.9744734616399695
101,2019,4,12,1008.075,33.13,18.505,45.57877359,2.607894737,121.7241379,14.01250265,0.0,3.234960519390089,0.0
102,2019,4,13,1007.6875,34.24,17.775,39.87587781,1.894444444,145.0,13.87171373,93.6,2.8394788094982153,2.818079464931474
103,2019,4,14,1007.4375,35.34594595,17.12972973,35.6698245,1.94,172.5,13.71391933,0.0,3.1874217759297743,0.0
104,2019,4,15,1007.125,35.05128205,15.78461538,34.01729646,2.070588235,231.6666667,13.56184711,0.0,3.3678907977207975,0.0
105,2019,4,16,1007.2,33.82702703,13.86486486,31.57928679,2.305555556,161.11111110000004,13.42417488,0.0,3.815698377556116,0.0
106,2019,4,17,1007.4125,34.35675676,18.28648649,39.91636567,2.955882353,203.5483871,13.30556931,0.0,4.261827796735494,0.0
107,2019,4,18,1007.725,33.61052632,20.28947368,47.41813179,2.448648649,153.84615380000002,14.9346693,0.0,3.1266738562544174,0.0
